source,title,company,location,date,link
Keejob,"Tax Assistant ""CIVP""",None,"Bab Bhar,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/7382/vivo-energy/
Keejob,Téléprospecteurs,None,Tunis,25 avril 2026,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/
Keejob,Servizio Clienti  Helpdesk,None,"El Kram,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/4625/transcom/
Keejob,Customer service representative,None,"El Kram,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/4625/transcom/
Keejob,Conseiller Clientèle - Fashion et E-commerce,None,"El Kram,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/4625/transcom/
Keejob,Enquêteurs téléphoniques - Excellent français,None,"Ariana Ville,                                                            Ariana",25 avril 2026,https://www.keejob.com/offres-emploi/companies/5628/3c-etudes/
Keejob,EXPERT TECHNICO-FONCTIONNEL SAGE X3,None,"Centre ville,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/5598/mercure-internationale/
Keejob,CHEF DE PROJET IT RETAIL,None,"Centre ville,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/5598/mercure-internationale/
Keejob,Assistante Administrative,None,"El Menzah,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/26764/rfc/
Keejob,Strategic Account Manager,None,"Cite El Khadra,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/
Keejob,Assistante financière,None,"El Menzah,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/26764/rfc/
Keejob,Conseillers Client,None,"Centre ville,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/2291/teleperformance/
Keejob,Conseillers Clients (SOUSSE),None,"Sousse Ville,                                                            Sousse",25 avril 2026,https://www.keejob.com/offres-emploi/companies/2291/teleperformance/
Keejob,Conseillers client bilingues,None,"Centre ville,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/2291/teleperformance/
Keejob,Magasinier MP et PF,None,"Sbikha,                                                            Kairouan",25 avril 2026,https://www.keejob.com/offres-emploi/238509/magasinier-mp-et-pf/
Keejob,Mécaniciens dengins de chantier (ITALIE),None,None,25 avril 2026,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/
Keejob,Contrôleur de Gestion,None,"Ben Arous,                                                            Ben Arous",25 avril 2026,https://www.keejob.com/offres-emploi/companies/22004/groupe/
Keejob,Responsable unité de production (Monastir),None,Monastir,25 avril 2026,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/
Keejob,Odoo Tech Lead,None,"Centre ville,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/20695/binitns/
Keejob,Interprète,None,Tunis,25 avril 2026,https://www.keejob.com/offres-emploi/companies/2291/teleperformance/
Keejob,Gourmandise recrute a BOUZAYENE,None,"Sfax Ville,                                                            Sfax",25 avril 2026,https://www.keejob.com/offres-emploi/companies/148/gourmandise/
Keejob,Gourmandise recrute A Sousse Mariott,None,"Sousse Ville,                                                            Sousse",25 avril 2026,https://www.keejob.com/offres-emploi/companies/148/gourmandise/
Keejob,Contrôleur de Gestion Groupe (H/F),None,"Sousse Ville,                                                            Sousse",25 avril 2026,https://www.keejob.com/offres-emploi/companies/12393/recrutement-rhg/
Keejob,Technicien Supérieur,None,Ben Arous,25 avril 2026,https://www.keejob.com/offres-emploi/238384/technicien-sup%C3%A9rieur/
Keejob,Chefs D'équipes,None,Tunis,25 avril 2026,https://www.keejob.com/offres-emploi/companies/12087/luxor/
Keejob,Chefs Chantiers,None,Tunis,25 avril 2026,https://www.keejob.com/offres-emploi/companies/12087/luxor/
Keejob,Responsable de Maintenance,None,"Sousse Ville,                                                            Sousse",25 avril 2026,https://www.keejob.com/offres-emploi/companies/12393/recrutement-rhg/
Keejob,Analyste Fonctionnel (H/F),None,"Sousse Ville,                                                            Sousse",25 avril 2026,https://www.keejob.com/offres-emploi/companies/12393/recrutement-rhg/
Keejob,Chargé de flux bionétrique,None,Ben Arous,25 avril 2026,https://www.keejob.com/offres-emploi/companies/2820/sotubi/
Keejob,Technicien de maintenance,None,"Bir Mcherga,                                                            Zaghouan",25 avril 2026,https://www.keejob.com/offres-emploi/238418/technicien-de-maintenance/
Keejob,Chargé d'achats,None,"La Marsa,                                                            Tunis",25 avril 2026,https://www.keejob.com/offres-emploi/companies/31/fatales/
Keejob,Chargé(e) Qualité Production (H/F),None,"La Soukra,                                                            Ariana",25 avril 2026,https://www.keejob.com/offres-emploi/companies/11364/asteel-flash/
Keejob,Resp Dév Com & Mkg en dispositifs médicaux,None,"Ariana Ville,                                                            Ariana",25 avril 2026,https://www.keejob.com/offres-emploi/companies/7236/prochidia/
