source,title,company,location,date,link,description,responsibilities,requirements,skills,languages,experience_years,education_level,contract_type,seniority_level,job_category,detail_scrape_status
EmploiTunisie,Responsable Production - Sousse,None,None,None,https://www.emploitunisie.com/recruteur/88895,"STAFFING TUNISIA Profil de lentreprise Entreprise : STAFFING TUNISIA Ville : sfax Pays : Tunisie Secteur dactivité : Intérim, recrutement Site Internet : https://www.staffing-tunisia.com Description de l'entreprise STAFFING TUNISIA  is a network of employment agencies based in Tunisia since 2018 with headquarter in Sfax and 3 offices covering all Tunisia, Sfax, Sousse and Tunis. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Assistante Logistique - Sousse,None,None,None,https://www.emploitunisie.com/recruteur/88895,"STAFFING TUNISIA Profil de lentreprise Entreprise : STAFFING TUNISIA Ville : sfax Pays : Tunisie Secteur dactivité : Intérim, recrutement Site Internet : https://www.staffing-tunisia.com Description de l'entreprise STAFFING TUNISIA  is a network of employment agencies based in Tunisia since 2018 with headquarter in Sfax and 3 offices covering all Tunisia, Sfax, Sousse and Tunis. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,"Technicien(ne) en Radiologie - Houmet Essouk, Djerba",None,None,None,https://www.emploitunisie.com/recruteur/380537,"PÔLE HOSPITALIER INTERNATIONAL ECHIFA DJERBA Profil de lentreprise Entreprise : PÔLE HOSPITALIER INTERNATIONAL ECHIFA DJERBA Ville : Houmet Essouk Pays : Tunisie Secteur dactivité : Santé, pharmacie, hôpitaux, équipements médicaux Site Internet : https://www.clinique-djerba-echifa.com/ Description de l'entreprise Accrédité Platine par lINEAS  Djerba Le Pôle Hospitalier International Echifa est une clinique pluridisciplinaire de référence, située à Djerba. Depuis 2011, létablissement propose une prise en charge médicale de haut niveau, appuyée par des équipements modernes et des équipes qualifiées. Avec plus de 200 lits, dont 30 de réanimation, Echifa offre un environnement de travail structuré, sécurisé et orienté vers lexcellence des soins. Rejoindre Echifa, cest intégrer un établissement engagé dans une médecine de haut niveau, plaçant la qualité des soins, la sécurité des patients et le développement professionnel de ses collaborateurs au cœur de ses priorités. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Agent de Réception - Monastir,None,None,None,https://www.emploitunisie.com/recruteur/380523,"CARTHAGE MEDICAL Profil de lentreprise Entreprise : CARTHAGE MEDICAL Ville : Monastir Pays : Tunisie Secteur dactivité : Santé, pharmacie, hôpitaux, équipements médicaux Site Internet : https://carthagemedical.com.tn/ Description de l'entreprise Le Centre International Carthage Médical est une polyclinique multidisciplinaire dotée dune unité de Radiologie et dImagerie Médicale, Urgences &amp; Transport Médicalisé, Cardiologie Interventionnelle, Maternité et Réanimation Néonatale, Réanimation Médicale et Chirurgicale, 5 salles opératoires offrant les meilleurs équipements, des chambres et des suites conçues pour fournir un confort matériel et psychologique des patients tout en respectant les normes internationales de sécurité et dhygiène, une équipe médicale et paramédicale de confiance. La polyclinique dispose dun service daccueil des Urgences qui est assuré 24h/24. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Data and Analytics Engineer - Tunis,None,None,None,https://www.emploitunisie.com/recruteur/141652,"Collaboration Betters the World TN Profil de lentreprise Entreprise : Collaboration Betters the World TN Ville : Tunis Pays : Tunisie Secteur dactivité : Informatique, SSII, Internet Site Internet : non disponible Description de l'entreprise CBTW (Collaboration Betters The World) est un groupe mondial indépendant de conseil en technologie. Nous nous appuyons surplus de 4000 talentueux spécialistes répartis dans plus de 35 villes dans le monde. Nos valeurs communes qui ont perduré pendant toutes ces années sont et resteront toujours : Engagement : Nous mettons nos années d'expérience au service de nos clients pour leur permettre d'atteindre leurs objectifs. Collaboration : En entretenant des alliances solides et en cultivant des relations à long terme basées sur la confiance avec nos clients + Esprit déquipe de nos consultants. Évolution : Nous avons une forte volonté de nous dépasser, de continuer à évoluer et de relever de nouveaux défis. Positive Thinking : Plus que notre nom, l'état d'esprit ""Positive Thinking"" est partagé par tous nos collaborateurs. Nos offres d'emploi",,,teamwork,,,,Freelance,,IT & Software,ok
EmploiTunisie,Représentant Commercial - Gabes,None,None,None,https://www.emploitunisie.com/recruteur/380733,"STE MIMOSA COSMETIQUE Profil de lentreprise Entreprise : STE MIMOSA COSMETIQUE Ville : Sidi Hassine Pays : Tunisie Secteur dactivité : Industrie, production, fabrication, autres Site Internet : https://mimosa-cosmetics.com/ Description de l'entreprise société opérant dans le domaine du cosmétique et de la parfumerie sise a Tunis Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Gestionnaire Marketplace Amazon - Tunis,None,None,None,https://www.emploitunisie.com/recruteur/172181,"ECOWEBY Profil de lentreprise Entreprise : ECOWEBY Ville : Tunis Pays : Tunisie Secteur dactivité : Ingénierie, études développement - Marketing, communication, médias Site Internet : https://ecoweby.com/ Description de l'entreprise ECOWEBY offre une gamme complète de services pour aider votre entreprise à réussir en ligne, de la conception et du développement de sites web à l'optimisation pour les moteurs de recherche et la création de designs de marque uniques. Nos offres d'emploi",,,communication,,,,,,IT & Software,ok
EmploiTunisie,Sales Agent - Sousse,None,None,None,https://www.emploitunisie.com/recruteur/380865,"LINKDESK Profil de lentreprise Entreprise : LINKDESK Ville : Sousse Pays : Tunisie Secteur dactivité : Centres dappel, hotline, call center Site Internet : non disponible Description de l'entreprise LinkDesk is a dynamic customer engagement and sales support company focused on delivering high-quality service experiences to clients across the travel and lifestyle sectors. We specialise in customer relationship management and personalised assistance for clients seeking premium, tailored travel solutions. Our team of Sales Agents plays a key role in understanding client needs, identifying the most suitable travel options, and crafting value-driven offers that align with individual preferences and expectations. Agents are trained to communicate with clarity, confidence, and professionalism, while maintaining a consultative approach that prioritises customer satisfaction. Alongside sales operations, our Customer Support Agents ensure a smooth and seamless experience throughout every stage of the client journey. From handling inquiries and managing bookings to resolving issues and providing ongoing guidance, our support team is dedicated to offering timely and reliable service. We pride ourselves on efficiency, accuracy, and a genuine commitment to client care. At LinkDesk, we believe in empowering our employees with the tools, knowledge, and work environment needed to excel. Our workplace culture encourages collaboration, continuous learning, and the pursuit of excellence. We invest heavily in training and development, enabling our teams to remain adaptable in a fast-paced, ever-evolving industry. With a focus on professionalism, integrity, and a customer-first mindset, LinkDesk continues to build strong, lasting relationships with clients worldwide. Our mission is to deliver exceptional service solutions that elevate the customer experience and uphold the highest standards of operational performance. Nos offres d'emploi",,,excel,,,,Internship,Internship,IT & Software,ok
EmploiTunisie,Responsable Marketing Senior - Sousse,None,None,None,https://www.emploitunisie.com/recruteur/381055,"BAHRIA COSMETIQUE Profil de lentreprise Entreprise : BAHRIA COSMETIQUE Ville : Sousse Pays : Tunisie Secteur dactivité : Santé, pharmacie, hôpitaux, équipements médicaux Site Internet : non disponible Description de l'entreprise bahria cosmetique est filiale du groupe bahria specialise dans la promotion et distribution des produits parapharmaceutique en tunisie Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Chef dEquipe - Route de Gabes Km 2 Sfax,None,None,None,https://www.emploitunisie.com/recruteur/381057,"SOCIETE INDUSTRIELLE DE GRILLAGE Profil de lentreprise Entreprise : SOCIETE INDUSTRIELLE DE GRILLAGE Ville : Sfax Pays : Tunisie Secteur dactivité : Industrie, production, fabrication, autres Site Internet : non disponible Description de l'entreprise La société industrielle de grillage 'SIG', basée à Sfax, est spécialisée dans la transformation du fil dacier en grillage. Fondée en 1966, notre entreprise bénéficie dune longue expérience et dun savoir-faire reconnu dans le secteur industriel. Nous fabriquons différents types de grillages destinés aux secteurs de la construction, de lagriculture et de lindustrie, en garantissant des produits de haute qualité répondant aux normes du marché. Avec un effectif compris entre 50 et 100 employés, notre entreprise sappuie sur une équipe dynamique et engagée. Nos offres d'emploi",,,,,,,,,IT & Software,ok
